201012-174116_bmy_47d_elicit_16,abati kano fye lucelenanga umwine akeselumbula ilya mfumu yabamo 
201012-174116_bmy_47d_elicit_17,ababemba bonse batila linso lya mfumu 
201012-174116_bmy_47d_elicit_18,ilya mfumu ya linso nga yaishila umuntu muli bungulu ku lubingu kuti umuntu alasesema ati he he he nine mufishisheni mwitwa na lucele 
201012-174116_bmy_47d_elicit_19,e kutila nine mfumu ya kufishisha kano lucelenanga akesenjita ishina lyandi 
201012-174116_bmy_47d_elicit_20,ishamfumu shaleita mulenga konsekonse shalemutwalila ing ombe she lambo ne mbushi ishingi 
201012-174116_bmy_47d_elicit_21,impanga yena lyonse balecita imo 
201012-174116_bmy_47d_elicit_22,balemutwalila ubwalwa ne filyo fimbi nao alefyoca no kufituula ku mipashi fimbi alelya 
201012-174116_bmy_47d_elicit_23,lelo ilambo lya mpanga lyena tapali nelyo umo uwalelya yaleposwa yonse pa cipooma atemwa ukuyoca yonse yalungula 
201012-174116_bmy_47d_elicit_24,ilyo icalo catalala kaoma na konkola babwelela ku mulimo wabo uwa kwipika umwafi 
200916-155836_bem_a40_elicit_0,bushe nimwe banaani 
200916-155836_bem_a40_elicit_1,ishina lyandi nine brian nafuma ku amelika ndi kaipeela mu peace corps 
200916-155836_bem_a40_elicit_2,naisa muno mushi wenu pakuti tusambilishanye na bantu benu pa buyantanshi 
200916-155836_bem_a40_elicit_3,nga mwansuminisha kuti natemwa ukumonana na bantu benu pa cibelushi 
200916-155836_bem_a40_elicit_4,ciisuma walondolola bwino mune 
200916-155836_bem_a40_elicit_5,ndi nokwishibisha abantu bonse pakuti mukalanshanye nabo 
200916-155836_bem_a40_elicit_6,ciisuma natotela 
200916-155836_bem_a40_elicit_7,abekala mushi bafwaisha ukubombela pamo naba kaipeela abalanda ululimi lwabo 
200916-155836_bem_a40_elicit_8,ciisuma ukusenda ubupe nga mulefwaya ukumonana ne mfumu 
200916-155836_bem_a40_elicit_10,mufwile ukulanga umucinshi ku mfumu mukulanda na mumifwalile 
200916-155836_bem_a40_elicit_11,mwalitemwana na baume 
200916-155836_bem_a40_elicit_12,tamwatemwana na banakashi 
200916-155836_bem_a40_elicit_13,balimonana ne mfumu 
200916-155836_bem_a40_elicit_14,tabamonene na kapaaso 
200916-155836_bem_a40_elicit_15,twaliafwana na basambi 
200916-155836_bem_a40_elicit_16,tatwaafwene na bakafundisha 
200916-155836_bem_a40_elicit_17,balipangana na bantu bamumushi 
200916-155836_bem_a40_elicit_18,tabapangene na bakafundisha 
200916-155836_bem_a40_elicit_19,mulatemwana na bantu 
200916-155836_bem_a40_elicit_20,tamutemwana ne nama 
200916-155836_bem_a40_elicit_21,balamonana ne mfumu 
200916-155836_bem_a40_elicit_22,tabamonana na kapokola 
200916-155836_bem_a40_elicit_23,tulafwaana na bantu 
200916-155836_bem_a40_elicit_24,tatwafwana ne nama 
200916-155836_bem_a40_elicit_25,tulasekana na bangoni 
200916-155836_bem_a40_elicit_26,tatusekana na balunda 
200916-155836_bem_a40_elicit_27,mwalitemwana 
200916-155836_bem_a40_elicit_28,balitemwana 
200916-155836_bem_a40_elicit_29,twalimonana 
200916-155836_bem_a40_elicit_30,balitumana 
200916-155836_bem_a40_elicit_31,tamwatemweene 
200916-155836_bem_a40_elicit_32,tabatemweene 
200916-155836_bem_a40_elicit_33,tatwamonene 
200916-155836_bem_a40_elicit_35,ndeipikisha inama 
200916-155836_bem_a40_elicit_36,nshileipikisha isabi 
200916-155836_bem_a40_elicit_37,muletwiisha imbalala 
200916-155836_bem_a40_elicit_38,tamuletwiisha ubuunga 
200916-155836_bem_a40_elicit_39,baleliisha ubwali 
200916-155836_bem_a40_elicit_40,tabaleliisha inkonde 
200916-155836_bem_a40_elicit_41,tulebikisha umucele mu munani 
200916-155836_bem_a40_elicit_42,tatulebikisha umucele mu musunga 
200916-155836_bem_a40_elicit_43,muli shani mayo 
200916-155836_bem_a40_elicit_44,ndifye bwino nga imwe 
200916-155836_bem_a40_elicit_45,ndifye bwino bushe finshi muleipika 
200916-155836_bem_a40_elicit_46,ndeipika umunani 
200916-155836_bem_a40_elicit_47,munani nshi muleipika 
200916-155836_bem_a40_elicit_48,ndeipika cibwabwa ya kusashila 
200916-155836_bem_a40_elicit_49,bushe bepika shani cibwabwa yakusashila 
201007-015856_bem_798_elicit_0,mukwai kuti cauma na ndi 
201007-015856_bem_798_elicit_1,abantu nabo ico batemenwe saana shamitombo kabili baaleemufuluka cabapeseshe amaano pa kusanga wishi eo bacilolo bakaka umusango uyo 
201007-015856_bem_798_elicit_2,ilyo bamwene ka viloto baleti keni kafye 
201007-015856_bem_798_elicit_3,kabili balikekete no kuu bakakacushe 
201007-015856_bem_798_elicit_4,elyo ici kalelanda icilimi ico bashaishibe e pa kweba abantu abati na bete muhenda ese omfwe nalimo uiyu mwana kuti aletele amashiwi 
201007-015856_bem_798_elicit_5,kena kabula ne mpapa shakwa yoani balangisha 
201007-015856_bem_798_elicit_6,baita na kashimoyo nao aililila na ba cilolo ebele 
201007-015856_bem_798_elicit_7,umwana wandi umo aila ku kufwaye mfuti shakuli ese acimfishemo abalwani bamuteka ku munga we fwafwa 
201007-015856_bem_798_elicit_8,nomba epapa na imwe mwashala mwatalama na ku kukaka wishi 
201007-015856_bem_798_elicit_9,no kubulo bufumu mwateka pa mitwe yenu 
201007-015856_bem_798_elicit_10,epapa nomba abantu umushi onse nabasuka nabatendwa imisango yenu na ifulisha 
201007-015856_bem_798_elicit_11,shaleni leteni umulume wandi muleke nalimo kusuka aisa tumfwe ngalelondolola bwino ifilesosa umwaice 
201007-015856_bem_798_elicit_12,kanshi umusungu wakwa muhenda untu bali nao mupotugishi 
201007-015856_bem_798_elicit_13,ne cilimi cine naco muhenda ninshi alicishiba 
201007-015856_bem_798_elicit_14,kupona na mulyashi ka viloto 
201007-015856_bem_798_elicit_15,kalondololafye fyonse nefyo shilenshi ali no mucinshi uukalamba mu blueville nefyo ali no bwinga kuli mwana hugo imfumu ikalamba 
201007-015856_bem_798_elicit_16,nao kulondolwela abantu ifyo omfwile fyonse abeba no kuti umwaice eshile kuti baye nao 
201007-015856_bem_798_elicit_17,basowesha bonse bapeela ne cebo kuli bacilolo bonse babili abati lekeni bayetubile mfumu yesu 
201007-015856_bem_798_elicit_18,kwa kubutukafye bafumina na kucisonso lwa kumputa uko akaice kaashile mfalashi 
201007-015856_bem_798_elicit_19,abantu bakonkeleko cabapeseshe na maano pakumono kuti akaice kaikate cinama cishaikulila 
201007-015856_bem_798_elicit_20,babwelako no lubilo bebele awe mupashi wakwa shamitombo wabwela 
201007-015856_bem_798_elicit_21,kanshi bafikilefye ku blueville ubushiku bwine baleti mailo ni nweli 
201007-015856_bem_798_elicit_22,ico kwali no kube nshiku nkulu no bwinga mu calici elyo baufishe ninshi bapwafye ukupunda imilungu ibili 
201007-015856_bem_798_elicit_23,mu nshiku nkulu mwine emwali no kubo bwinga ku mushi 
201007-015856_bem_798_elicit_24,ala nshilondolwele nandakai ifyo cali ku ling 
201007-015856_bem_798_elicit_25,ilyo ling alondokele ku menso ya kwa hugo nafyonse ifyali nokulindika ubwinga fyapwa 
201007-015856_bem_798_elicit_26,pantu lingi umbi bali no kuodafye 
201007-015856_bem_798_elicit_27,emukuti kanshi ubwinga nga bwaliko panuma ya kilishimashi 
201007-015856_bem_798_elicit_28,ling wabene alilumbilililwa uyo 
201007-015856_bem_798_elicit_29,nao uwakuu ailela mu minwe yakwe 
201007-015856_bem_798_elicit_30,iyoo shamitombo mwandi ashukilefye 
201007-015856_bem_798_elicit_31,ku kabara nako ahbudula ashala afwa 
201007-015856_bem_798_elicit_32,musa wena apola 
201007-015856_bem_798_elicit_33,koyikoyi ena takokwele kulindila ahbudula kuti abwele iyoo 
201007-015856_bem_798_elicit_34,papili lefye nshiku shibili ebele naya ku kabara 
201007-015856_bem_798_elicit_35,afikilile ku hotela kwine kwa alfonsho 
201007-015856_bem_798_elicit_36,nako uko asangako abashikale abalonda mu yanda pantu balclolela ukuti na bambi abapuupu bakesa 
201007-015856_bem_798_elicit_37,kuti ashifyumfyuntukako ubushiku uko kwine nokumfwa mu mbali ukutilufonsho balimwikata kumo kwine na ahbudula pa mulandu wa lingi untu aiba ku blueville 
201007-015856_bem_798_elicit_38,nao lwapya nomba ku blueville 
201007-015856_bem_798_elicit_39,afikileye ubushiku bwine bwakusefyo bwinga 
201007-015856_bem_798_elicit_40,cilyafye kwabe cungulo abati nomba ekutwala ba na bwinga li koyikoyi lipitile na kunshila 
201007-015856_bem_798_elicit_41,lyasuka lyasanga mu kukutikilila lyaishiba ne y anda muntu ba shi bwinga balesendama lyaya na pa windo lyalalolela 
201007-015856_bem_798_elicit_42,ba shi bwinga bali mu kayanda beka baletontonkanya ifingi saana ifyamitekele ya caalo cabo 
201007-015856_bem_798_elicit_43,uku nako ulwa bwinga no lwa ncito 
201007-015856_bem_798_elicit_44,awe lelo mwandi shamitombo wesu shamusanga 
201007-015856_bem_798_elicit_45,amaano yalifye ayasalangana mu mutwe 
201007-015856_bem_798_elicit_46,alati aclenganya ifyo akayacita abantu bakwe ngaya nampo ngakayabasangula abakilistiani akapanike na ba cilolo apalico bakakile wishi 
201007-015856_bem_798_elicit_47,uku lubali nako atontonkanye ifyakucita ku ncito yakwe 
201007-015856_bem_798_elicit_48,na koyikoyi nishi talamupelebesha 
201007-015856_bem_798_elicit_49,ala mu mutwe mwali kwati umuntu anwine ubwalwa asuka alabako alampa no kutontonkanya pe tebulo 
201007-015856_bem_798_elicit_50,amona yakwana alafuma nokuya mu muputule wa kusendamamo 
201007-015856_bem_798_elicit_51,kuulalafika nefi aumfwa fye imo ne lepu no musowa wa kwa maria wali na owee 
201007-015856_bem_798_elicit_52,bwali bushiku kabili shamitombo afwelefye ifyakuſwala fya bwinga 
201007-015856_bem_798_elicit_53,amwenefye uko umukashi wakwe awa no mulopa walipo na cululululululu 
201007-015856_bem_798_elicit_54,abulilefye akafofa muli campa wakwe afwampukila na panse ulubilo ninshi abantu nacibapesha na maano 
201007-015856_bem_798_elicit_55,abaile ku kamba nabo ni bambi 
201007-015856_bem_798_elicit_56,ka viloto kena kwisafulumuka no lubilo nako kabalikita na panuma 
201007-015856_bem_798_elicit_57,kuti kalifye ngo mu kamona fyayawa mansa 
201007-015856_bem_798_elicit_58,koyikoyi na mu mfuti intu akwete at nalisha mukwai yakanininafye 
201007-015856_bem_798_elicit_59,epa kutinta muli tai wakwa shamitombo nomba ena alapupilafye 
201007-015856_bem_798_elicit_60,nako ka viloto bwangu bwangukufika ninshi apo balelwila ukutole mfuti yakwa shamitombo apo yaponene 
201007-015856_bem_798_elicit_61,koyikoyi ukuboko kumo kuli pa mukoshi wakwa shamitombo kumbi nako kulepepesha napali mfuli 
201007-015856_bem_798_elicit_62,aa lwali lubuli 
201007-015856_bem_798_elicit_63,cilya fye viloto ati epa mfuti naikata koyikoyi amutinta kukulu awa 
201007-015856_bem_798_elicit_64,nomba uku nako atinta na shamitombo pa mukoshi apunda ka viloto umutima nomba wacisa 
201007-015856_bem_798_elicit_65,katifye kapilibuke libili litatu nakesa fyumfyuntunka na mu mfuti langu 
201007-015856_bem_798_elicit_66,kati nokuu wafwilapo nobe pa bupulumushi bobe 
201009-113239_bem_526_elicit_0,twaisula isukulu 
201009-113239_bem_526_elicit_1,kuti fye cilya inyenjele yalila twamona mukwai utwaice twayamba no kwisa 
201009-113239_bem_526_elicit_2,ifwe twalapapa fye twati kanshi abaice ba kuno balitemwa isukulu 
201009-113239_bem_526_elicit_3,ico ni pa cililolilo na kakushala ku mushi nakalya 
201009-113239_bem_526_elicit_4,ico umunandi wena te wa ku caliki ca katolika abala ashala ku ŋanda ine naya mu kusalikisha abaice 
201009-113239_bem_526_elicit_5,nomba abana bene bakusalikisha bantu babula no kwishiba ico balecita kuti balentamba fye kwati baletamba uulelisha isese 
201009-113239_bem_526_elicit_6,na ine ico ndi mweni ndebalolesha fye no kukalipa iyo filya fine mumfwa ukuti ubweni bwapeteke akabwa umucila 
201009-113239_bem_526_elicit_7,cilya napwa ukupepesha no munandi aisa twatendeka na peleti 
201009-113239_bem_526_elicit_8,uko kwena eko cayafya no kwafya kuti kafundisha nga apunda abana na baletombokela mu mulu na balesunka abanabo 
201009-113239_bem_526_elicit_9,ale kubala na ifwe bene bakafundisha twawa fye ku nseko 
201009-113239_bem_526_elicit_10,icishele kubatwala fye mu isamba lya muti twalayakana na bana bene 
201009-113239_bem_526_elicit_11,ine nabulako abana aba myaka ibiliibili pa sukulu nati nalimo bena kuti baumfwako akacisungu panono 
201009-113239_bem_526_elicit_12,elyo tonse utwa kutampa napela umunandi uwaishibe ululimi iwa kulya kwine 
201009-113239_bem_526_elicit_13,kuti umo tulefunda ifyo fine na kasuba kaba na pa mutwe 
201009-113239_bem_526_elicit_14,kanshi natulufyanya kale ku bantu ba mu mishi 
201009-113239_bem_526_elicit_15,bushe kuti mwati mulandu nshi twalufyenye kanshi tatufumishepo bana bamo abo bashibo bateka ing ombe ukuti babwelele ku kucema ing ombe 
201009-113239_bem_526_elicit_16,inshita yonse ii shili fye mu macinka 
201009-113239_bem_526_elicit_17,kuti umo tufokopele nga filya fine twamona fye kapaso wa mfumu uyu afika 
201009-113239_bem_526_elicit_18,alatweba ati ala ing ombe bayebeswile 
201009-113239_bem_526_elicit_19,kuti cilya kapaso apwa fye ukulanda twamona abaice baisaima fye ukwabula no kuti tubebe nelyo kamo batendeka ne mbilo balaya no kuya 
201009-113239_bem_526_elicit_20,nomba ine ico nshumfwile ifyo kapaso ulya alanda nalaipusha umunandi nati nga kanshi caba shani 
201009-113239_bem_526_elicit_21,umunandi alanondolwela fyonse ifyo kapaso asosa 
201009-113239_bem_526_elicit_22,ine nati eco abaice baimina fye ukwabula no kubeba bwino iyo 
201009-113239_bem_526_elicit_23,umunandi ati ee kwena mulandu tabalaishiba umo isukulu lyalola leka twicita mu lubilo tukabanasha bucebuce 
201009-113239_bem_526_elicit_24,awe nasuula nomba umutima wena washala ulekalipa 
201009-113239_bem_526_elicit_25,kwena ndetotela no munandi ulya twali nankwe pantu e waishibe ululimi lwa balya bantu 
201009-113239_bem_526_elicit_26,pantu ine kuti nafulwa nalafwaya no kuti ncite mpasase lelo umunandi pa kulanda nabo anasha ishiwi kwati nshikalipe 
201009-113239_bem_526_elicit_27,e calenga e walefusha amano ya balya bantu mwandi nga batalile batutitika 
201009-113239_bem_526_elicit_28,ukuntu uko abantu balefwa ifyo abo baletuma ku kufunda na ifwe bene mwandi nga epo imyeo yesu yalala 
201009-113239_bem_526_elicit_29,cinecine nga wafika ku calo cimo uko ushiletesha lulimi kuti nelyo bati ipayeni uyu teti uteshe kuti wapulikilwa fye isembe pa mukoshi elyo waikalisha no kwikalisha 
201009-113239_bem_526_elicit_30,pali ubu bushiku tatwafundishe sana pantu abana balifulumwike pa kumfwa amashiwi yakwa kapaso na bashelepo banono nabo twabaleka baya ku mishi ku mwabo 
201009-113239_bem_526_elicit_31,ulucelo ilyo abaice babwelele twabapele ukupyanga 
201009-113239_bem_526_elicit_32,ukwabelele ishuko lyandi pali aba bene baice umwaice umo aumfwa uko ndeimba ulwimbo mu cibemba 
201009-113239_bem_526_elicit_33,naumfwa fye uko asosa ati kanshi bakafundisha muli babemba 
201009-113239_bem_526_elicit_34,ine nshayaswike bwangu nabalile nalatontonkanya ifya kwasuka uyu mwaice 
201009-113239_bem_526_elicit_35,naikele fye shilili pa nshita ikalamba lelo ico namona nao antontomeshe fye amenso kabili caba kwati nimusuula 
201009-113239_bem_526_elicit_36,awe nalamweba nati we mwana wasambilila kwi icibemba 
201009-113239_bem_526_elicit_37,anjasuka ati naleikala ku wankie eko nasambilila ne cibemba 
201009-113239_bem_526_elicit_38,apo pene nasumina ukuti kanshi cinecine kuti aishiba icibemba pantu mu wankie mwaba fye kwati ni mu lubemba ababemba bafulamo nganshi 
201009-113239_bem_526_elicit_39,awe nomba akaice ako kaba e kacibusa wandi kenekene 
201009-113239_bem_526_elicit_40,kuti nshita ya cungulo cilya twaleka isukulu twasalanganya na baice naeba kalya kaice kaishiba icibemba ukuti kena kashale 
201009-113239_bem_526_elicit_41,ico naumfwa ifika fyababa pa mubili nakeba ukuntungulula ku mumana ukuti njeowako 
201009-113239_bem_526_elicit_42,awe no kwima twaima twalaya twakonka akashila ka tondo pa mumana napo tapalepeshe twafika fye bwangu 
201009-113239_bem_526_elicit_43,nomba iseni muloleshe amenshi kuti wamona yalefuka icushi ku kukaba kwati bayafumya pa mulilo 
201009-113239_bem_526_elicit_44,aya menshi yali fye mu kamana akanono akaita mu ukalamba 
201009-113239_bem_526_elicit_45,ifyakushimikilwa afibula kulayanguka nga kuti mulepapa fye pa kumona akamana ka uyu musango 
201002-002057_bem_fb0_elicit_0,ifwe twatampa ukumufwaya pa kumubwedesha kuno mushi 
201002-002057_bem_fb0_elicit_1,awe ngefi twabatulila balenwa na mabotolo 
201002-002057_bem_fb0_elicit_2,ifwe twamufumisha panse no kutendeka ukumukalipila mpaka atendeka ukulila ico amona nafulwa sana 
201002-002057_bem_fb0_elicit_3,apo pene ukwabula no kupose nshita twalimine no kulabwela kuno mushi 
201002-002057_bem_fb0_elicit_4,kwena no mwine wine tatwamuushile nelyo twatile tukesatila aya mashiwi ku mwina mobe pantu ulemusebanya kuli bucintomfwa bobe 
201002-002057_bem_fb0_elicit_5,inshita robin aleshimika joni enamine fye panshi alekutika ukwabula ukuposapo ishiwi nelyo limo 
201002-002057_bem_fb0_elicit_6,ico aumfwa robin atalala joni elyo ati mune wawamya sana pa kunshimikilako uyu mulandu 
201002-002057_bem_fb0_elicit_7,mu cine naliumfwa mailo kuli odali umo ku cipatala 
201002-002057_bem_fb0_elicit_8,wena aishile mu kunjipusha ilyo amwene janet aishile ku kumpempula ati 
201002-002057_bem_fb0_elicit_9,kanshi e mukashi obe ulya mwa ulya umwene aishiba sana ukucinda jaivi 
201002-002057_bem_fb0_elicit_10,na ine namwipusha nati nga kanshi iwe wamumwene kwi 
201002-002057_bem_fb0_elicit_11,ebele namumwene bulya bushiku mu biaolo baleshana na george dube 
201002-002057_bem_fb0_elicit_12,ine nati aleseka fye kanshi cinecine 
201002-002057_bem_fb0_elicit_13,kabili bayama nabo bali balefwaya ukunshimikilako nomba na mwishiba abakalamba bali balepita mumbali nshacumfwisha umo baciloshe 
201002-002057_bem_fb0_elicit_14,na ine nshishibe ifyoningacita na ulya mukashana nampula mu maapa 
201002-002057_bem_fb0_elicit_15,robin ati iwe wiyesha kuyamuma pantu ali pa bukulu kuti wayambulako isha pa kubeya 
201002-002057_bem_fb0_elicit_16,ulingile ukumufunda fye pakanwa nga wamona cakwansha watala wamutuma kuli banyina ku lusaka 
201002-002057_bem_fb0_elicit_17,paul nao asuminisha amashiwi yasosa robin ati iyoo mune te cakwesha ukumuuma kwena 
201002-002057_bem_fb0_elicit_18,joni ati cisuma bane nayalanda nankwe panono nga atampa ukucusha nishi mailo akalonga ukuya kuli banyina ku lusaka 
201002-002057_bem_fb0_elicit_19,joni alaya ababiye abwelelamo kumwakwe asanga janet nasendama kwati mulwele joni amwipusha ati cinshi usendamine 
201002-002057_bem_fb0_elicit_20,janet ndeumfwa impepo no mutwe ubwafita na fititi 
201002-002057_bem_fb0_elicit_21,joni nga fitampile lilali 
201002-002057_bem_fb0_elicit_22,janet kwena ni kale nomba nshipikishe fye nati pantu elyo umunandi abwela ku cipatala teti amone ukuibombela 
201002-002057_bem_fb0_elicit_23,joni aikala pa mupando atampa kwipusha janet icalengele ukuti aye ku biaolo nelyo amulesha janet tondolo 
201002-002057_bem_fb0_elicit_24,joni ulemfinda no kumfinda ukamona nga wapola ifyo nkakucita pamo na ulya wine kolwe mubembushanya nankwe 
201002-002057_bem_fb0_elicit_25,ulucelo joni asamba alungama na ku ncito yakwe janet wena te wakubuka na pa beti bukomenemo ne sembe ukucini pamwabo 
201002-002057_bem_fb0_elicit_26,ilyo janet amona ukuti umulume aya ku ncito lyena na ng anda yayanguka 
201002-002057_bem_fb0_elicit_27,papita fye inshita inono abuuka alatontonkanya ifyakucita 
201002-002057_bem_fb0_elicit_28,amafundisho aleumfwa kuli bakapenta aya kupata icupo no bufyashi yaisula umutima paa alafuluka nefyo aleyangalila ilyo ashali ashilaupwa 
201002-002057_bem_fb0_elicit_29,atontonkanya ifyo joni akamucita pali bumpulamafunde bwakwe apo pene kwati bushilu bwamwikata apanga ukubutuka apo pene 
201002-002057_bem_fb0_elicit_30,umwabela ishamo ubu bushiku joni akupwike fye pa kuya ku ncito alaba no kusenda inkoloko yakwe iyo ashitile pali e23 10s od 
201002-002057_bem_fb0_elicit_31,kwena umutima tawakalipishe atile ndeisaisanga nga nainuka ubushiku bwa lelo nakulaipusha inkoloko ku musungu wandi na banandi 
201002-002057_bem_fb0_elicit_32,kanshi tata inkoloko iyo ubo bwine bushiku ileloloma papitile inshitantali pa kuilondola nakabili 
201002-002057_bem_fb0_elicit_33,janet apo pene atendeka no kulonga utupe twakwe umo ali eka mu ng anda 
201002-002057_bem_fb0_elicit_34,alonga amalaya yakwe yonse muli sutikeshi akaka na mabulangeti yabili na mashitibeti 
201002-002057_bem_fb0_elicit_35,kuti ati aloleshe mumbali amona inkoloko yakwa joni pa tebulo 
201002-002057_bem_fb0_elicit_36,aibula ayalaula ulunkumbwa bwamwishila nayo alonga na muli sutikeshi 
201002-002057_bem_fb0_elicit_37,na tumbi utupe twakwa joni uto ashakwatile na mulimo alongala kumo 
201002-002057_bem_fb0_elicit_38,kuti cilya ati emye katundu aumfwa kufina e pa kufumina panse ku kufwaya utwaice tutatu tuleteya boola atwita pamo twaisa fye ulubilo 
201002-002057_bem_fb0_elicit_39,atweba ati aleni batata njafweniko ukusenda utupe utu ku stesheni ya basi ndeyamulipila 
201002-002057_bem_fb0_elicit_40,tatifine ni sutikeshi na mabulangeti epela 
201002-002057_bem_fb0_elicit_41,abaice basumina basena na fyonse balaya 
201002-002057_bem_fb0_elicit_42,ne ndalama e24 isho joni asungile mu ng anda janet abulapo e10 10s od asenda 
201002-002057_bem_fb0_elicit_43,lilya bafika ku citesheni ca basi bamona na motoka wine uwa kuya ku ndola ali mupepi no kwima 
201002-002057_bem_fb0_elicit_44,kondalita pa kumona kapenta wawama filya afuma na muli motoka ati ni shani basisita muleya kwi 
201002-002057_bem_fb0_elicit_45,janet mukwai ndeya ku ndola 
201002-002057_bem_fb0_elicit_46,kondakita apoka ifipe afibika pa mulu wa basi 
201002-002057_bem_fb0_elicit_47,namutekenya kuti alolesha ukulefuma janet alaswa ku mafiga yakwe nomba alolekesha amona ukuti ali ne fumo mu mutima ati no kuti 
201002-002057_bem_fb0_elicit_48,eya mwandi mayo kanshi uli muntu winewine tauli kapenta 
201002-002057_bem_fb0_elicit_49,janet cilya aikala pa cipuna na basi aima kondakita ayaiminina mupepi na janet 
180101-023953_bem_d31_elicit_0,twaishibo kuti bonse abasosa icine ku bantu balapakaswa 
180101-023953_bem_d31_elicit_1,pantu twamona kuli isaac pa kwisula no kwimba ifishima ifipya alipakeswe sana 
180101-023953_bem_d31_elicit_2,na shikulu yesu cilolo wa mutende nao icalo tacamusuminishe ukuti acite umutende muli bene 
180101-023953_bem_d31_elicit_3,na yeremia efyo bamucitile eco konse uko ukupuputulwa kuleya takuba mutende ku babomfi bakwa lesa 
180101-023953_bem_d31_elicit_4,icilangililo nici umulonga wa menshi ayasuma nga wawila mu yasampa nayo yakasampa 
180101-023953_bem_d31_elicit_5,efyo na paulo aculile mu atena pa kusose fyebo ifipya 
180101-023953_bem_d31_elicit_6,nga twaikalilila mu kukansana ninshi teti twimbe na fimbi ifishima elyo ne fyaimbwa akale na fyo filefwa 
180101-023953_bem_d31_elicit_7,pantu satana aleesha na maka sana ukukosha imilandu inono pakuti ifilonganino filabikilwe mu kukansana ukucila ukuya ku ntanshi 
180101-023953_bem_d31_elicit_8,e mulandu wine ne filonganino ifingi filefililwa ukusangwa mu kulongana 
180101-023953_bem_d31_elicit_9,twilabo kuti abena gerari abakulwa na ifwe tuli nabo pe 
180101-023953_bem_d31_elicit_10,natucite umutende 
180101-023953_bem_d31_elicit_11,apa twaumfwa ifyo isaac acitile umutende pa kufuma ku bantu ba fikansa no lubuli 
180101-023953_bem_d31_elicit_12,efyo cali na kuli wishi abrahamu 
180101-023953_bem_d31_elicit_13,balilekene na loti pa mulandu no lubuli lwa bacemi ukutendeka 13 6 9 
180101-023953_bem_d31_elicit_14,eco aba bantu batamfishe isaac mu mipaka yabo ukutendeka 26 16 
180101-023953_bem_d31_elicit_15,efyo na bena gadara batamfishe yesu mu mipaka yabo ilyo afumishe ifiwa mu bantu mateo 8 28 34 
180101-023953_bem_d31_elicit_16,na isaac pa kuba umuntu uwa mutende ushafwaile ukwikalila mu fikansa no lubili afumineko no kuya kumbi pantu balya bantu tabalefwayo mutende 
180101-023953_bem_d31_elicit_17,na bonse abafwayo mutende balausanga bwangu 
180101-023953_bem_d31_elicit_18,abantu bambi bapalana ishimeli munyina isaaci ifyo ali wa bulwi pe 
180101-023953_bem_d31_elicit_19,efyo na bamo baba mu filonganino na mu kulongana kwesu bantu ba bulwi 
180101-023953_bem_d31_elicit_20,lesa apeela abantu bakwe incende 
180101-023953_bem_d31_elicit_21,isaac aileimba na cimbi icishima ico ainike ati rehobote ekutila icifulo icaisuka kuli bonse 
180101-023953_bem_d31_elicit_22,mukwai umuntu uyo lesa abomfya nangu mwamutamfya akayabomba konse uko akaya pantu wa mulimo kuli lesa 
180101-023953_bem_d31_elicit_23,ifyo fine na isaac tanakile ukwimbe fishima nefyo balemupokolola 
180101-023953_bem_d31_elicit_24,asukile aimba icishima icali na menshi ayengi icakuti abantu bonse epo balenwishe fitekwa elyo no kusuminisha bonse ukwikala mu ncende iyo aileko 
180101-023953_bem_d31_elicit_25,efyo shikulu yesu aliya mu kupekanya umwakwikala bonse abamutetekela 
180101-023953_bem_d31_elicit_26,cishima nshi ico mulekabila ukwikalapo 
180101-023953_bem_d31_elicit_27,ifishima fibili ifya kubalilapo ifyo ababomfi bakwe baimbile eseke na sitna fyaba icipasho ca calo umwabafye ifikansa no mupatikisha elyo no lubuli 
180101-023953_bem_d31_elicit_28,mukwai ukukumana kwesu nga kwafulamo ifikansa ninshi tuli ku lubali lwa ku calo kabili ababumubili 
180101-023953_bem_d31_elicit_29,icishima ca kulekelesha ico isaac aimbile ni rehobote 
180101-023953_bem_d31_elicit_30,ici cikope ca fintu fya ku mulu nelyo icifulo ca ku mulu umukaba ukwilemena ubwingi bwa mutende ngefyo isaac akwete umutende pa kufika ku cifulo ici 
180101-023953_bem_d31_elicit_31,kabili icifulo ici ca mapaalo sana pantu ni lesa uwamupeele impanga ukuba iya kutushamo ku balwani bakwe 
180101-023953_bem_d31_elicit_32,nomba yehoba natulundulwile mpanga no kuleka tusande muno calo 
180101-023953_bem_d31_elicit_33,calicitike bushiku bumo mu mushi uwaleitwa kibari icakuti shikulu bantu uwe shina lya bauleni asangile umupeto wa ku motoka yakwe takuli 
180101-023953_bem_d31_elicit_34,panuma yakulolekesha mumbali ya motoka amwene akakope ka national registration card mupepi na pali umupeto untu walubile 
180101-023953_bem_d31_elicit_35,efyo ashimikileko umwina mwakwe uwamupandile amano yakulondolola umulandu kuli bakapokola 
180101-023953_bem_d31_elicit_36,ilintu afikile kukapokola bauleni asangile umulumendo uwe shina lya chande alelembesha pamulandu wa kuluba kwa kakope ka national registration card kakwe 
180101-023953_bem_d31_elicit_37,ilintu umulumendo apwile ukulembesha shikulu bantu nao alondolwele ifyo asangile umupeto wa kuli motoka yakwe kunuma tauli mu cifulo cauko 
